id,location,date,total_cases,new_cases,total_deaths,new_deaths
469,Australia,2/5/2020,13,0,,
470,Belgium,2/5/2020,1,0,,
471,Cambodia,2/5/2020,1,0,,
472,Canada,2/5/2020,5,1,,
473,China,2/5/2020,27440,3733,563,72
474,Denmark,2/5/2020,,,,
475,Estonia,2/5/2020,,,,
476,Europe,2/5/2020,35,1,,0
477,European Union,2/5/2020,24,0,,0
478,Fiji,2/5/2020,,,,
479,Finland,2/5/2020,1,0,,
480,France,2/5/2020,6,0,,
481,Germany,2/5/2020,12,0,,
482,Hong Kong,2/5/2020,,,,
483,India,2/5/2020,3,0,,
484,Italy,2/5/2020,2,0,,
485,Japan,2/5/2020,23,1,,
486,Malaysia,2/5/2020,12,2,,
487,Mexico,2/5/2020,,,,
488,Nepal,2/5/2020,1,0,,
489,North America,2/5/2020,16,1,,0
490,Oceania,2/5/2020,13,0,,0
491,Peru,2/5/2020,,,,
492,Philippines,2/5/2020,2,0,1,0
493,Russia,2/5/2020,2,0,,
494,Singapore,2/5/2020,28,4,,
495,Slovenia,2/5/2020,,,,
496,South Korea,2/5/2020,19,3,,
497,Spain,2/5/2020,1,0,,
498,Sri Lanka,2/5/2020,1,0,,
499,Sweden,2/5/2020,1,0,,
500,Taiwan,2/5/2020,11,0,,
501,Thailand,2/5/2020,25,0,,
502,United Arab Emirates,2/5/2020,5,0,,
503,United Kingdom,2/5/2020,9,1,,
504,United States,2/5/2020,11,0,,
505,Vietnam,2/5/2020,8,0,,
506,World,2/5/2020,27643,3745,564,72
507,Argentina,2/6/2020,,,,
508,Asia,2/6/2020,30737,3158,634,70
509,Australia,2/6/2020,14,1,,
510,Belgium,2/6/2020,1,0,,
511,Cambodia,2/6/2020,1,0,,
512,Canada,2/6/2020,5,0,,
513,China,2/6/2020,30587,3147,633,70
514,Denmark,2/6/2020,,,,
515,Estonia,2/6/2020,,,,
516,Europe,2/6/2020,35,0,,0
517,European Union,2/6/2020,24,0,,0
518,Fiji,2/6/2020,,,,
519,Finland,2/6/2020,1,0,,
520,France,2/6/2020,6,0,,
521,Germany,2/6/2020,12,0,,
522,Hong Kong,2/6/2020,,,,
523,India,2/6/2020,3,0,,
524,Italy,2/6/2020,2,0,,
525,Japan,2/6/2020,23,0,,
526,Malaysia,2/6/2020,12,0,,
527,Malta,2/6/2020,,,,
528,Mexico,2/6/2020,,,,
529,Nepal,2/6/2020,1,0,,
530,North America,2/6/2020,17,1,,0
531,Oceania,2/6/2020,14,1,,0
532,Peru,2/6/2020,,,,
533,Philippines,2/6/2020,2,0,1,0
534,Russia,2/6/2020,2,0,,
535,Singapore,2/6/2020,28,0,,
536,Slovenia,2/6/2020,,,,
537,South Korea,2/6/2020,23,4,,
538,Spain,2/6/2020,1,0,,
539,Sri Lanka,2/6/2020,1,0,,
540,Sweden,2/6/2020,1,0,,
541,Taiwan,2/6/2020,16,5,,
542,Thailand,2/6/2020,25,0,,
543,United Arab Emirates,2/6/2020,5,0,,
544,United Kingdom,2/6/2020,9,0,,
545,United States,2/6/2020,12,1,,
546,Vietnam,2/6/2020,10,2,,
547,World,2/6/2020,30803,3160,634,70
548,Argentina,2/7/2020,,,,
549,Asia,2/7/2020,34264,3527,719,85
550,Australia,2/7/2020,15,1,,
551,Belgium,2/7/2020,1,0,,
552,Cambodia,2/7/2020,1,0,,
553,Canada,2/7/2020,7,2,,
554,China,2/7/2020,34110,3523,718,85
555,Denmark,2/7/2020,,,,
556,Estonia,2/7/2020,,,,
557,Europe,2/7/2020,37,2,,0
558,European Union,2/7/2020,26,2,,0
559,Fiji,2/7/2020,,,,
560,Finland,2/7/2020,1,0,,
561,France,2/7/2020,6,0,,
562,Germany,2/7/2020,13,1,,
563,Hong Kong,2/7/2020,,,,
564,India,2/7/2020,3,0,,
565,International,2/7/2020,61,61,,
566,Italy,2/7/2020,3,1,,
567,Japan,2/7/2020,23,0,,
568,Malaysia,2/7/2020,12,0,,
569,Malta,2/7/2020,,,,
570,Mexico,2/7/2020,,,,
571,Morocco,2/7/2020,,,,
572,Nepal,2/7/2020,1,0,,
573,North America,2/7/2020,19,2,,0
574,Oceania,2/7/2020,15,1,,0
575,Peru,2/7/2020,,,,
576,Philippines,2/7/2020,3,1,1,0
577,Russia,2/7/2020,2,0,,
578,Singapore,2/7/2020,30,2,,
579,Slovenia,2/7/2020,,,,
580,South Africa,2/7/2020,,,,
581,South Korea,2/7/2020,24,1,,
582,Spain,2/7/2020,1,0,,
583,Sri Lanka,2/7/2020,1,0,,
584,Sweden,2/7/2020,1,0,,
